scientificName,CommonName,FullName,AbbreviatedName,FullNameAbbreviated
Myoxocephalus jaok,Plain sculpin,Plain sculpin (Myoxocephalus jaok),M. jaok,Plain sculpin (M. jaok)
Myoxocephalus polyacanthocephalus,Great sculpin,Great sculpin (Myoxocephalus polyacanthocephalus),M. polyacanthocephalus,Great sculpin (M. polyacanthocephalus)
Nectoliparis pelagicus,Tadpole snailfish,Tadpole snailfish (Nectoliparis pelagicus),N. pelagicus,Tadpole snailfish (N. pelagicus)
Nautichthys oculofasciatus,Sailfin sculpin,Sailfin sculpin (Nautichthys oculofasciatus),N. oculofasciatus,Sailfin sculpin (N. oculofasciatus)
Odontopyxis trispinosa,Pygmy poacher,Pygmy poacher (Odontopyxis trispinosa),O. trispinosa,Pygmy poacher (O. trispinosa)
Oligocottus maculosus,Tidepool sculpin,Tidepool sculpin (Oligocottus maculosus),O. maculosus,Tidepool sculpin (O. maculosus)
Oncorhynchus clarkii lewisi,Cutthroat trout,Cutthroat trout (Oncorhynchus clarkii lewisi),O. clarkii,Cutthroat trout (O. clarkii)
Oncorhynchus gorbuscha,Pink salmon,Pink salmon (Oncorhynchus gorbuscha),O. gorbuscha,Pink salmon (O. gorbuscha)
Oncorhynchus keta,Chum salmon,Chum salmon (Oncorhynchus keta),O. keta,Chum salmon (O. keta)
Oncorhynchus kisutch,Coho salmon,Coho salmon (Oncorhynchus kisutch),O. kisutch,Coho salmon (O. kisutch)
Oncorhynchus mykiss,Rainbow trout,Rainbow trout (Oncorhynchus mykiss),O. mykiss,Rainbow trout (O. mykiss)
Oncorhynchus nerka,Sockeye salmon,Sockeye salmon (Oncorhynchus nerka),O. nerka,Sockeye salmon (O. nerka)
Oncorhynchus tshawytscha,Chinook salmon,Chinook salmon (Oncorhynchus tshawytscha),O. tshawytscha,Chinook salmon (O. tshawytscha)
Ophiodon elongatus,Lingcod,Lingcod (Ophiodon elongatus),O. elongatus,Lingcod (O. elongatus)
Oreochromis niloticus,Nile tilapoa,Nile tilapoa (Oreochromis niloticus),O. niloticus,Nile tilapoa (O. niloticus)
Osmerus mordax,Rainbow smelt,Rainbow smelt (Osmerus mordax),O. mordax,Rainbow smelt (O. mordax)
Orthonopias triacis,Snubnose sculpin,Snubnose sculpin (Orthonopias triacis),O. triacis,Snubnose sculpin (O. triacis)
Oxylebius pictus,Painted greenling,Painted greenling (Oxylebius pictus),O. pictus,Painted greenling (O. pictus)
Parophrys vetulus,English sole,English sole (Parophrys vetulus),P. vetulus,English sole (P. vetulus)
Pallasina barbata,Tubenose poacher,Tubenose poacher (Pallasina barbata),P. barbata,Tubenose poacher (P. barbata)
Percis japonica,Dragon poacher,Dragon poacher (Percis japonica),P. japonica,Dragon poacher (P. japonica)
Perca flavescens,Yellow perch,Yellow perch (Perca flavescens),P. flavescens,Yellow perch (P. flavescens)
Phanerodon furcatus,White seaperch,White seaperch (Phanerodon furcatus),P. furcatus,White seaperch (P. furcatus)
Pholis clemensi,Longfin gunnel,Longfin gunnel (Pholis clemensi),P. clemensi,Longfin gunnel (P. clemensi)
Pholis laeta,Crescent gunnel,Crescent gunnel (Pholis laeta),P. laeta,Crescent gunnel (P. laeta)
Pholis ornata,Saddleback gunnel,Saddleback gunnel (Pholis ornata),P. ornata,Saddleback gunnel (P. ornata)
Phytichthys chirus,Ribbon prickleback,Ribbon prickleback (Phytichthys chirus),P. chirus,Ribbon prickleback (P. chirus)
Platichthys stellatus,Starry flounder,Starry flounder (Platichthys stellatus),P. stellatus,Starry flounder (P. stellatus)
Pleuronichthys coenosus,C-O sole,C-O sole (Pleuronichthys coenosus),P. coenosus,C-O sole (P. coenosus)
Pleuronectes quadrituberculatus,Alaska plaice,Alaska plaice (Pleuronectes quadrituberculatus),P. quadrituberculatus,Alaska plaice (P. quadrituberculatus)
Podothecus accipenserinus,Sturgeon poacher,Sturgeon poacher (Podothecus accipenserinus),P. accipenserinus,Sturgeon poacher (P. accipenserinus)
Liparis greeni,Lobefin snailfish,Lobefin snailfish (Polypera greeni),L. greeni,Lobefin snailfish (L. greeni)
Poroclinus rothrocki,Whitebarred prickleback,Whitebarred prickleback (Poroclinus rothrocki),P. rothrocki,Whitebarred prickleback (P. rothrocki)
Poromitra curilensis,Ridgehead,Ridgehead (Poromitra curilensis),P. curilensis,Ridgehead (P. curilensis)
Prosopium williamsoni,Mountain whitefish,Mountain whitefish (Prosopium williamsoni),P. williamsoni,Mountain whitefish (P. williamsoni)
Phanerodon vacca,Pile perch,Pile perch (Phanerodon vacca),P. vacca,Pile perch (P. vacca)
Pseudobathylagus milleri,Stout blacksmelt,Stout blacksmelt (Pseudobathylagus milleri),P. milleri,Stout blacksmelt (P. milleri)
Pseudopleuronectes obscurus,Dark flounder,Dark flounder (Pseudopleuronectes obscurus),P. obscurus,Dark flounder (P. obscurus)
Psychrolutes paradoxus,Tadpole sculpin,Tadpole sculpin (Psychrolutes paradoxus),P. paradoxus,Tadpole sculpin (P. paradoxus)
Psychrolutes sigalutes,Soft sculpin,Soft sculpin (Psychrolutes sigalutes),P. sigalutes,Soft sculpin (P. sigalutes)
Ptilichthys goodei,Quillfish,Quillfish (Ptilichthys goodei),P. goodei,Quillfish (P. goodei)
Ptychocheilus oregonensis,Northern pike minnow,Northern pike minnow (Ptychocheilus oregonensis),P. oregonensis,Northern pike minnow (P. oregonensis)
Radulinus asprellus,Slim sculpin,Slim sculpin (Radulinus asprellus),R. asprellus,Slim sculpin (R. asprellus)
Rhacochilus vacca,Pile perch,Pile perch (Rhacochilus vacca),R. vacca,Pile perch (R. vacca)
Rhamphocottus richardsonii,Grunt sculpin,Grunt sculpin (Rhamphocottus richardsonii),R. richardsonii,Grunt sculpin (R. richardsonii)
Reinhardtius hippoglossoides,Greenland halibut,Greenland halibut (Reinhardtius hippoglossoides),R. hippoglossoides,Greenland halibut (R. hippoglossoides)
Rhinichthys cataractae,Longnose dace,Longnose dace (Rhinichthys cataractae),R. cataractae,Longnose dace (R. cataractae)
Rimicola muscarum,Kelp clingfish,Kelp clingfish (Rimicola muscarum),R. muscarum,Kelp clingfish (R. muscarum)
Ronquilus jordani,Northern ronquil,Northern ronquil (Ronquilus jordani),R. jordani,Northern ronquil (R. jordani)
Salmo salar,Atlantic salmon,Atlantic salmon (Salmo salar),S. salar,Atlantic salmon (S. salar)
Salmo trutta,Brown trout,Brown trout (Salmo trutta),S. trutta,Brown trout (S. trutta)
Salvelinus malma,Dolly Varden,Dolly Varden (Salvelinus malma),S. malma,Dolly Varden (S. malma)
Sardinops sagax,Pacific sardine,Pacific sardine (Sardinops sagax),S. sagax,Pacific sardine (S. sagax)
Scomber japonicus,Chub mackerel,Chub mackerel (Scomber japonicus),S. japonicus,Chub mackerel (S. japonicus)
Scorpaenichthys marmoratus,Cabezon,Cabezon (Scorpaenichthys marmoratus),S. marmoratus,Cabezon (S. marmoratus)
Sebastes auriculatus,Brown rockfish,Brown rockfish (Sebastes auriculatus),S. auriculatus,Brown rockfish (S. auriculatus)
Sebastes maliger,Quillback rockfish,Quillback rockfish (Sebastes maliger),S. maliger,Quillback rockfish (S. maliger)
Sebastes nigrocinctus,Tiger rockfish,Tiger rockfish (Sebastes nigrocinctus),S. nigrocinctus,Tiger rockfish (S. nigrocinctus)
Sebastolobus macrochir,Broadbanded thornyhead,Broadbanded thornyhead (Sebastolobus macrochir),S. macrochir,Broadbanded thornyhead (S. macrochir)
Spirinchus thaleichthys,Longfin smelt,Longfin smelt (Spirinchus thaleichthys),S. thaleichthys,Longfin smelt (S. thaleichthys)
Squalus suckleyi,Pacific spiny dogfish,Pacific spiny dogfish (Squalus suckleyi),S. suckleyi,Pacific spiny dogfish (S. suckleyi)
Stenobrachius leucopsarus,Northern lampfish,Northern lampfish (Stenobrachius leucopsarus),S. leucopsarus,Northern lampfish (S. leucopsarus)
Stenobrachius nannochir,Garnet lanternfish,Garnet lanternfish (Stenobrachius nannochir),S. nannochir,Garnet lanternfish (S. nannochir)
Stichaeus punctatus,Arctic shanny,Arctic shanny (Stichaeus punctatus),S. punctatus,Arctic shanny (S. punctatus)
Synchirus gilli,Manacled sculpin,Manacled sculpin (Synchirus gilli),S. gilli,Manacled sculpin (S. gilli)
Syngnathus leptorhynchus,Bay pipefish,Bay pipefish (Syngnathus leptorhynchus),S. leptorhynchus,Bay pipefish (S. leptorhynchus)
Thaleichthys pacificus,Eulachon,Eulachon (Thaleichthys pacificus),T. pacificus,Eulachon (T. pacificus)
Thunnus orientalis,Pacific bluefin tuna,Pacific bluefin tuna (Thunnus orientalis),T. orientalis,Pacific bluefin tuna (T. orientalis)
Thunnus alalunga,Albacore,Albacore (Thunnus alalunga),T. alalunga,Albacore (T. alalunga)
Trachurus symmetricus,Pacific Jack Mackerel,Pacific Jack Mackerel (Trachurus symmetricus),T. symmetricus,Pacific Jack Mackerel (T. symmetricus)
Trichodon trichodon,Pacific sandfish,Pacific sandfish (Trichodon trichodon),T. trichodon,Pacific sandfish (T. trichodon)
Triglops macellus,Roughspine sculpin,Roughspine sculpin (Triglops macellus),T. macellus,Roughspine sculpin (T. macellus)
Triglops pingelii,Ribbed sculpin,Ribbed sculpin (Triglops pingelii),T. pingelii,Ribbed sculpin (T. pingelii)
Triglops scepticus,Spectacled sculpin,Spectacled sculpin (Triglops scepticus),T. scepticus,Spectacled sculpin (T. scepticus)
Xiphister atropurpureus,Black prickleback,Black prickleback (Xiphister atropurpureus),X. atropurpureus,Black prickleback (X. atropurpureus)
Xiphister mucosus,Rock prickleback,Rock prickleback (Xiphister mucosus),X. mucosus,Rock prickleback (X. mucosus)
Zaprora silenus,Prowfish,Prowfish (Zaprora silenus),Z. silenus,Prowfish (Z. silenus)
Pleuronectidae sp,Flat fish,Flat fish (Pleuronectidae sp),P. sp,Flat fish (P. sp)
Lycodapus parviceps,Smallhead eelpout,Smallhead eelpout (Lycodapus parviceps),L. parviceps,Smallhead eelpout (L. parviceps)
Beringraja sp,Skate,Skate (Beringraja sp),B. sp,Skate (B. sp)
Salvelinus confluentus,Bull trout,Bull trout (Salvelinus confluentus),S. confluentus,Bull trout (S. confluentus)
Lycodes brevipes,Shortfin eelpout,Shortfin eelpout (Lycodes brevipes),L. brevipes,Shortfin eelpout (L. brevipes)
