Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
C1A9CPSOH2,Thuja plicata - Picea sitchensis / Oplopanax horridus Very Wet Hypermaritime 1,western redcedar - Sitka spruce / devil's club Very Wet Hypermaritime 1,CWHvh1/07,S2S3 (2010),Blue,G1G3 (2005),N/A,N/A,,Central and North Coast LUO; South Central Coast LUO,,
C1A9CPSOH1,Thuja plicata - Picea sitchensis / Oplopanax horridus Very Wet Hypermaritime 2,western redcedar - Sitka spruce / devil's club Very Wet Hypermaritime 2,CWHvh2/07,S3 (2004),Blue,GNR,N/A,N/A,,Haida Gwaii LUO; Central and North Coast LUO; South Central Coast LUO,,
C1A9CTPPS1,Thuja plicata - Picea sitchensis / Polystichum munitum,western redcedar - Sitka spruce / sword fern,CWHvh1/05; CWHvh2/05; CWHwh1/03,S2S3 (2004),Blue,G3?,N/A,N/A,,Haida Gwaii LUO,Y,
CEBC003110,Thuja plicata / Polystichum munitum - Lysichiton americanus,western redcedar / sword fern - skunk cabbage,CDFmm/11; CDFmm/Ws53; CWHdm/Ws53; CWHxm1/12; CWHxm1/Ws53; CWHxm2/12; CWHxm2/Ws53,S3? (2012),Blue,GNR,N/A,N/A,,,,
C1A9CTPTT1,Thuja plicata / Polystichum munitum Dry Maritime,western redcedar / sword fern Dry Maritime,CWHdm/05,S2? (2016),Red,G2G3,N/A,N/A,,South Central Coast LUO,,
C1A9CTPTT2,Thuja plicata / Polystichum munitum Very Dry Maritime,western redcedar / sword fern Very Dry Maritime,CWHxm1/05; CWHxm2/05,S1S2 (2021),Red,GNR,N/A,N/A,,South Central Coast LUO,,
C1A9CTPSR1,Thuja plicata - Pseudotsuga menziesii / Acer circinatum,western redcedar - Douglas-fir / vine maple,CWHds1/05; CWHds2/05,S3? (2021),Blue,G2G3,N/A,N/A,Y,,,
CEBC000282,Thuja plicata - Pseudotsuga menziesii / Cornus stolonifera,western redcedar - Douglas-fir / red-osier dogwood,IDFmw1/05; IDFxc/07; IDFxh2/07,S3 (2004),Blue,GNR,N/A,N/A,,,,
C1A9CTPKO1,Thuja plicata - Pseudotsuga menziesii / Kindbergia oregana,western redcedar - Douglas-fir / Oregon beaked-moss,CDFmm/05,S1 (2013),Red,GNR,N/A,N/A,,,Y,
CEBC001053,Thuja plicata - Pseudotsuga menziesii / Maianthemum racemosum,western redcedar - Douglas-fir / false Solomon's seal,IDFxh1/00,S1 (2004),Red,GNR,N/A,N/A,,,,
CEBC000022,Thuja plicata / Rubus idaeus / Gymnocarpium dryopteris,western redcedar / red raspberry / oak fern,ICHdk/06,S2 (2004),Red,GNR,N/A,N/A,,,,
C1B2CARRS3,Thuja plicata / Rubus spectabilis,western redcedar / salmonberry,CWHdm/13; CWHxm1/13; CWHxm2/13,S1S2 (2019),Red,GNR,N/A,N/A,,South Central Coast LUO,Y,
C1A9CTPSA1,Thuja plicata / Symphoricarpos albus,western redcedar / common snowberry,CDFmm/07,S1 (2013),Red,GNR,N/A,N/A,,,Y,
C1A9CTPAF1,Thuja plicata / Tiarella trifoliata Dry Maritime,western redcedar / three-leaved foamflower Dry Maritime,CWHdm/07,S2S3 (2018),Blue,G3,N/A,N/A,,South Central Coast LUO,Y,
C1A9CTPAF2,Thuja plicata / Tiarella trifoliata Very Dry Maritime,western redcedar / three-leaved foamflower Very Dry Maritime,CWHxm1/07; CWHxm2/07,S2S3 (2013),Blue,G3,N/A,N/A,,South Central Coast LUO,,
CEBC000243,Thuja plicata - Tsuga heterophylla / Equisetum arvense,western redcedar - western hemlock / common horsetail,ICHmw1/07; ICHmw2/07,S3 (2004),Blue,GNR,N/A,N/A,,,,
C1A9CTHPM1,Thuja plicata - Tsuga heterophylla / Polystichum munitum,western redcedar - western hemlock / sword fern,CWHmm1/04; CWHmm2/04; CWHvm1/04; CWHvm2/04,S3? (2005),Blue,GNR,N/A,N/A,,Central and North Coast LUO; South Central Coast LUO,,
NFAGA4R010,Thujacorticium mirabile,,,S2S4 (2021),Blue,GNR,,,,,,
AFCHA07013,Thymallus arcticus - Nahanni lineage,Arctic Grayling - Nahanni Lineage,,S3? (2012),Blue,G5TNRQ,,,,,,
NLT0029500,Thyrea confusa,candied gummybear,,S2S3 (2010),Blue,G3G5 (2002),,,,,,
NBMUS7G040,Timmia sibirica,,ESSFdk; SWBmk,S2S3 (2024),Blue,G5? (2000),,,,,,
IILEF13080,Tinea irrepta,,,S3S5 (2020),Blue,GNR,,,,,,
NLT0012690,Tingiopsidium sonomense,california brownette,,S3 (2010),Blue,G3G4 (2006),,,,,,
NFHYP06010,Tolypocladium capitatum,,,S2S4 (2021),Blue,GNR,,,,,,
NFSM000036,Tolypocladium ophioglossoides,,,S2S4 (2021),Blue,G3G4 (2006),,,,,,
NFTHE09040,Tomentella coerulea,,,S2S4 (2021),Blue,GNR,,,,,,
NFTHE09050,Tomentella crinalis,,,S2S4 (2021),Blue,GNR,,,,,,
NFTHE09070,Tomentella ferruginea,,,S2S4 (2021),Blue,GNR,,,,,,
PDSCR1Y020,Tonella tenella,small-flowered tonella,CDFmm,S3 (2019),Blue,G5 (1990),E,1-E (2005),,,Y,Y
NBMUS7Q060,Tortella spitsbergensis,,SWB,S2S3 (2024),Blue,G5? (2000),,,,,,
NBMUS25020,Tortula atrovirens,,,S3? (2024),Blue,G5? (1996),,,,,,
NBMUS7L060,Tortula bolanderi,,CWH,S3? (2024),Blue,G3G5 (2000),,,,,,
NBMUS25050,Tortula guepinii,,,S2S3 (2024),Blue,G3G5 (1996),,,,,,
NBMUS25090,Tortula leucostoma,,BAFA; MH; SWB,S3? (2024),Blue,G5 (2015),,,,,,
NBMUS5V020,Tortula protobryoides,,IDF,S2S3 (2024),Blue,G5? (1996),,,,,,
NBMUS250E0,Tortula systylia,,BAFA,S2S3 (2024),Blue,G4G5 (1991),,,,,,
IAOLI41010,Toutellus oregonensis,an earthworm,,S1 (2019),Red,GNR,,,,,,
PDAST9C0J0,Townsendia parryi,Parry's townsendia,ESSFdkp; IMA,S2 (2019),Red,G4? (1988),,,,,Y,
IIODO64050,Tramea lacerata,Black Saddlebags,CDF,S3 (2023),Blue,G5 (2016),,,,,Y,
NFFUNTRHI1,Trametes hirsuta,,,S2S4 (2021),Blue,GNR,,,,,,
NBMUS7M060,Trematodon asanoi,,MHmm,S2S3 (2024),Blue,G3? (2021),,,,,,
NBMUS7M050,Trematodon montanus,,CWH,S2S3 (2024),Blue,G1G3 (2024),,,,,,
NLTRE01060,Tremella aurantia,witch's butter,,S2S4 (2021),Blue,GNR,,,,,,
NLTRE01040,Tremella globispora,,,S2S3 (2021),Blue,GNR,,,,,,
NLTRE01050,Tremella mesenterella,,,S2S3 (2021),Blue,GNR,,,,,,
NFGEO03010,Trichoglossum hirsutum,,,S2S3 (2021),Blue,GNR,,,,,,
NFAGA250A0,Tricholoma albobrunneum,,,S2S3 (2021),Blue,GNR,,,,,,
NFAGA25020,Tricholoma apium,,,S3 (2021),Blue,GNR,,,,,,
NFAGA250B0,Tricholoma atrosquamosum,,,S2S4 (2021),Blue,GNR,,,,,,
NFAGA25040,Tricholoma caligatum,,,S2S4 (2021),Blue,GNR,,,,,,
NFAGA25080,Tricholoma sulphurescens,,,S2S4 (2021),Blue,GNR,,,,,,
NFAGA26010,Tricholomopsis decora,,,S2S4 (2021),Blue,GNR,,,,,,
CEBC003059,Trichophorum alpinum / Scorpidium revolvens,Hudson Bay clubrush / rusty hook-moss,SBSmc2/Wf10; SBSmk2/Wf10; SBSun/Wf10,S2 (2015),Red,G2,N/A,N/A,,Central and North Coast LUO,Y,
CEBC003049,Trichophorum cespitosum / Campylium stellatum,tufted clubrush / golden star-moss,BWBSdk/Wf11; ESSFdc1/Wf11; ESSFdc2/Wf11; ESSFdc3/Wf11; ESSFdh1/Wf11; ESSFdk1/Wf11; ESSFdk2/Wf11; ESSFdv/Wf11; ESSFdv1/Wf11; ESSFdv2/Wf11; ESSFmh/Wf11; ESSFmw1/Wf11; ESSFun/Wf11; ESSFwc2/Wf11; ESSFwc3/Wf11; ESSFwc4/Wf11; ESSFwh1/Wf11; ESSFwh2/Wf11; ESSFwh3/Wf11; ESSFwk1/Wf11; ESSFwm1/Wf11; ESSFwm2/Wf11; ESSFwm3/Wf11; ESSFwm4/Wf11; ESSFxc/Wf11; ESSFxc1/Wf11; ESSFxc2/Wf11; ESSFxc3/Wf11; ICHdw4/Wf11; ICHmc2/Wf11; ICHmk1/Wf11; ICHmk4/Wf11; ICHmw1/Wf11; ICHmw3/Wf11; ICHmw5/Wf11; ICHvk1/Wf11; MSdk/Wf11; MSdm1/Wf11; MSdm2/Wf11; MSdw/Wf11; MSxk1/Wf11; MSxk2/Wf11; SBSdk/Wf11; SBSun/Wf11; SBSwk1/Wf11,S2S3 (2004),Blue,G2G3,N/A,N/A,,,Y,
IILES06040,Trichoptilus pygmaeus,,,S1S3 (2020),Red,GNR,,,,,,
PDFAB400R1,Trifolium depauperatum var. depauperatum,poverty clover,CDFmm; CWHxm,S3 (2019),Blue,G5T5? (2000),,,,,Y,Y
